ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-038799	1653656	Stock Option (Right to Buy)		5.35					F4	01-AUG-2026		Common Stock		30675.0				30675.0	F5			D			
0000950170-24-038799	1653655	Stock Option (Right to Buy)		17.28					F4	03-AUG-2025		Common Stock		11821.0				11821.0	F5			D			
0000950170-24-038799	1653654	Stock Option (Right to Buy)		21.53					F4	27-OCT-2024		Common Stock		10132.0				10132.0	F5			D			
0000950170-24-038799	1653657	Stock Option (Right to Buy)		4.1					F4	12-SEP-2027		Common Stock		42919.0				42919.0	F5			D			
0000950170-24-038797	1653708	Stock Option (Right to Buy)		21.53					F11	27-OCT-2024		Common Stock		10132.0				10132.0				I		See footnote.	F12
0000950170-24-038797	1653711	Stock Option (Right to Buy)		4.1					F11	12-SEP-2027		Common Stock		42919.0				42919.0				I		See footnote.	F12
0000950170-24-038797	1653710	Stock Option (Right to Buy)		5.35					F11	01-AUG-2026		Common Stock		30675.0				30675.0				I		See footnote.	F12
0000950170-24-038797	1653709	Stock Option (Right to Buy)		17.28					F11	03-AUG-2025		Common Stock		11821.0				11821.0				I		See footnote.	F12
0001140361-24-016692	1653680	Stock Option (right to buy)		0.92					F10	20-AUG-2031		Common Stock		53379.0				53379.0				D			
0001140361-24-016692	1653676	Stock Option (right to buy)		0.85					F6	10-JAN-2034		Common Stock		58255.0				58255.0				D			
0001140361-24-016692	1653677	Stock Option (right to buy)		0.91					F7	05-MAY-2030		Common Stock		16592.0				16592.0				D			
0001140361-24-016692	1653678	Stock Option (right to buy)		0.91					F8	05-MAY-2030		Common Stock		27668.0				27668.0				D			
0001140361-24-016692	1653679	Stock Option (right to buy)		0.91					F9	17-NOV-2030		Common Stock		9118.0				9118.0				D			
0001593968-24-000519	1653702	Option (right to buy)		57.28				16-JUL-2025		16-JUL-2036		Common Stock		10000.0				10000.0				D			
0001593968-24-000519	1653701	Option (right to buy)		47.22				23-JUN-2021		23-JUN-2032		Common Stock		5000.0				5000.0				D			
0001593968-24-000518	1653690	Option (right to buy)		51.3				28-FEB-2024		28-FEB-2035		Common Stock		65000.0				65000.0				D			
0001593968-24-000516	1653734	Option (right to buy)		32.3				19-JUN-2019		19-JUN-2030		Common Stock		32709.0				32709.0				D			
0001593968-24-000515	1653642	Option (right to buy)		51.3				28-FEB-2024		28-FEB-2035		Common Stock		65000.0				65000.0				D			
0001593968-24-000513	1653614	Option (right to buy)		58.26				03-DEC-2023		03-DEC-2034		Common Stock		20000.0				20000.0				D			
0001593968-24-000512	1653612	Option (right to buy)		57.28				16-JUL-2025		16-JUL-2031		Common Stock		10000.0				10000.0				D			
