ACCESSION_NUMBER	NONDERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0000950170-24-038822	2196205	Common Stock				556183.0				I		By Spouse	
0001213900-24-028125	2196094	Common Stock				648.0				I		By NXT3J Capital, LLC	F4
0001213900-24-028125	2196095	Common Stock				575.0				D			
0001213900-24-028124	2196284	Common Stock				1578947.0	F1			D	F1		
0001209191-24-005137	2196272	Common Stock				519429.0				I		See Footnote	F3
0000950142-24-000835	2196306	Common Stock				17744.0				D			
0001828318-24-000030	2196098	Common Stock				1300.0				I	F5		
0001828318-24-000030	2196097	Common Stock				4400.0				D	F4	Minor Child	
0001596532-24-000125	2196302	Common Stock				12000.0				I			
0001596532-24-000125	2196300	Common Stock				17681.0				D		By Trust for Nephew	F5
0001596532-24-000125	2196301	Common Stock				12000.0				I		By Trust for Niece	F5
0000950170-24-038801	2196307	Common Stock				9662114.0	F8			I		By Flagship Ventures Fund IV, L.P. and Flagship Ventures Fund IV-Rx, L.P.	F8
0000950170-24-038801	2196308	Common Stock				3924.0	F9			I		By Flagship Pioneering, Inc.	F9
0001628280-24-013843	2196225	Common Stock				29.0				I		By Son	
0001127602-24-011472	2196114	Common Stock				16398.0				I		By Managed Account	F1
0000950170-24-038799	2196151	Common Stock, par value $0.01				15334006.0				I		See footnote	F3, F2
0000950170-24-038797	2196270	Common Stock, par value $0.01				150024.0	F4, F9, F5, F10			D			
0000950170-24-038797	2196268	Common Stock, par value $0.01				11680206.0	F3, F6, F4, F5			D			
0000950170-24-038797	2196269	Common Stock, par value $0.01				3503776.0	F7, F4, F5, F8			D			
0001714899-24-000097	2196139	Common Stock				238067.0	F3			D			
0001593968-24-000518	2196235	Common Stock				48707.08				D	F1		
0001593968-24-000518	2196234	Common Stock				5098.0				I		IRA	
0001593968-24-000517	2196237	Common Stock				10000.0				I		By Spouse-Kim	F1
0001593968-24-000517	2196238	Common Stock				5000000.0				D	F2		
0001593968-24-000517	2196239	Common Stock				14000.0				D	F3		
0001593968-24-000516	2196304	Common Stock				10000.0				D			
0000950170-24-038787	2196227	common stock, par value $0.1				47882.0				I		"Held as sole Trustee of the Spencer 2008 Irrevocable Trust. (""Spencer Truct"")  See Note1"	
0000950170-24-038787	2196228	common stock, par value $0.1				17000.0				I		"Held pursuant to a Power of Attorney from Ruth Spencer (""Power of Attorney"") See Note 1"	
0000950170-24-038787	2196229	common stock, par value $0.1				75.33				I		Shares held by the Reporting Person's Spouse	
0000950170-24-038787	2196230	common stock, par value $0.1				10271.89				D		Includes all shares held by Spencer LLC. See Note 1	
0000950170-24-038787	2196226	common stock, par value $0.1				666825.0				I		"Held as sole Person Representative Edward L. Spencer, Jr (the ""Estate"") see Note 1"	
0000950170-24-038787	2196231	common stock, par value $0.1				3960.0				I			
0001593968-24-000515	2196141	Common Stock				7000.0				D			
0001593968-24-000514	2196100	Common Stock				18714.0				D			
0001593968-24-000514	2196099	Common Stock				1564.0				D			
0001517375-24-000045	2196278	Class A Common Stock				203775.0				I		See Footnote	F3
0001593968-24-000513	2196105	Common Stock				5600.0				D			
0001593968-24-000511	2196240	Common Stock				470.0				I		By Spouse-IRA	
0001593968-24-000510	2196294	Common Stock				5218.0				I		Spousal IRA	
0001593968-24-000510	2196293	Common Stock				21280.0				I		IRA	
0001415889-24-009447	2196147	Common Stock				754311.0				I		See footnotes	F3, F1
0001593968-24-000508	2196112	Common Stock				37000.0				D			
0001213900-24-028096	2196169	Common Stock				1948907.0				I		By MILFAM CI LLC SPARTACUS	F3
0001213900-24-028096	2196168	Common Stock				2115213.0				I		By MILFAM Investments LLC	F2
0001213900-24-028095	2196184	Common Stock				143541.0				I		By Trust	F2
0001209191-24-005135	2196146	Common Stock				375000.0	F1			D			
0001127602-24-011466	2196166	Common Stock				20000.0				I		Trust-LTF	
0001127602-24-011466	2196167	Common Stock				20000.0				I		Trust-MPF	
0001127602-24-011466	2196165	Common Stock				20000.0				I		Trust-GEF	
0001127602-24-011463	2196275	Common Stock, Par Value $.01 Per Share				2200.0				I		Ryan Gabriel Goldfarb 2009 Trust	
0001127602-24-011463	2196274	Common Stock, Par Value $.01 Per Share				47170.0				I		JARS Portfolio LLC	
0001127602-24-011463	2196273	Common Stock, Par Value $.01 Per Share				24896.0				I		Amanda Julie Goldfarb 2007 Trust	
0000950170-24-038759	2196115	Class A Common Stock				43940.0	F3			D			
0001127602-24-011459	2196176	Common Stock, Par Value $.01 Per Share				200000.0				I		Arlene Goldfarb 2012 Delaware Trust	
0001127602-24-011459	2196177	Common Stock, Par Value $.01 Per Share				166750.0				I		Goldfarb Family Partners, LLC	
0001127602-24-011459	2196178	Common Stock, Par Value $.01 Per Share				200000.0				I		Morris Goldfarb 2012 Delaware Trust	
0001127602-24-011459	2196179	Common Stock, Par Value $.01 Per Share				29666.0				I		Spouse	
0001127602-24-011459	2196180	Common Stock, Par Value $.01 Per Share				76175.0				I		The Morris And Arlene Goldfarb Family Foundation	
0000933136-24-000031	2196093	Common Stock				926001.0				D			
0001437749-24-010116	2196122	Common Stock				41636.0				I		By Trust	F1
0001437749-24-010116	2196123	Common Stock				6195.0				I		By Spouse	F2
0001437749-24-010116	2196124	Common Stock				23735.0				I		By Children's Irrevocable Trust	F3
0001437749-24-010115	2196153	Common Stock				1620973.0				I		By S-FDF, LLC	F2
0001437749-24-010115	2196154	Common Stock				57646.0				I		By Trust	F3
0001437749-24-010114	2196101	Common Stock				1620973.0				I		By S-FDF, LLC	F2
0000921895-24-000750	2196236	Common Stock				6373676.0				I		See Footnote	F3, F2, F1
0001104659-24-041205	2196285	Class A Common Stock				90564.0	F2			I		By Trust	F2
0001415889-24-009445	2196249	Common Stock				122028.0				I		See Footnote	F3
0001610717-24-000197	2196247	Common Stock				74400.0	F1			D			
0000912242-24-000039	2196194	Common Stock				29445.0				I		Family Trust	
0000912242-24-000039	2196195	Common Stock				53426.0				I		Family Partnership	
0001493152-24-012014	2196271	Common Stock				8955.0	F2			I		By Trust	
0000950170-24-038727	2196104	Voting Common Stock				231817.0				D	F1		
0001104659-24-041175	2196246	Common Stock				50919.0				I		See Footnote	F1
0001127602-24-011455	2196185	Common Stock				10000000.0				I	F6	By Marc Benioff Fund LLC	
0000811532-24-000060	2196107	Units of Limited Partner Interest				2368.0				I		By Spouse	
0000016918-24-000029	2196216	Class A Common Stock				17.0				I		By Family Trusts	F1
0000016918-24-000029	2196215	Class A Common Stock				15.0				I		By Spouse	
0001214659-24-005633	2196096	Class A Common Stock				516463.0				I		By Aston Aladmax LLC	
0001213900-24-027994	2196280	Common Stock, par value $0.15 per share				1652.0				I		By 401(K) Plan	
0001213900-24-027992	2196189	Common Stock, par value $0.15 per share				34184.0				I		By 401(K) Plan	
0001213900-24-027992	2196188	Common Stock, par value $0.15 per share				585451.0	F2			I		By Trusts	
0001214659-24-005630	2196089	Common Stock				24139.19	F2			I		By Gould Shenfeld Family Foundation	F1
0001214659-24-005630	2196090	Common Stock				36447.87	F2			I		By Gould Family Trust	F3
0001214659-24-005630	2196091	Common Stock				27681.31	F2			I		By 130 Store Company LLC	F4
0001214659-24-005630	2196092	Common Stock				493326.4	F2			D			
0001214659-24-005628	2196212	Common Stock				27681.31	F5			I		By 130 Store Company LLC	F4
0001214659-24-005628	2196211	Common Stock				20874.0				I		By BRT Apartments Corp. Pension Trust	F3
